Compound Score,News Name,Tweets ago
0.3612,FoxNews,22
-0.4019,FoxNews,23
0.0,FoxNews,24
0.3182,FoxNews,25
0.0,FoxNews,26
0.0,FoxNews,27
-0.802,FoxNews,28
0.0,FoxNews,29
0.5859,FoxNews,30
0.4215,FoxNews,31
-0.6369,FoxNews,32
-0.5106,FoxNews,33
0.0,FoxNews,34
0.0,FoxNews,35
0.0,FoxNews,36
0.5574,FoxNews,37
-0.836,FoxNews,38
-0.4939,FoxNews,39
0.0,FoxNews,40
0.34,FoxNews,41
0.0,FoxNews,42
0.0,FoxNews,43
-0.34,FoxNews,44
0.7579,FoxNews,45
0.0,FoxNews,46
0.0,FoxNews,47
-0.4767,FoxNews,48
0.0,FoxNews,49
0.0,FoxNews,50
-0.836,FoxNews,51
0.2023,FoxNews,52
0.0,FoxNews,53
0.0,FoxNews,54
-0.128,FoxNews,55
0.0,FoxNews,56
0.0,FoxNews,57
-0.5574,FoxNews,58
-0.2263,FoxNews,59
0.0,FoxNews,60
0.5859,FoxNews,61
-0.7351,FoxNews,62
-0.3182,FoxNews,63
-0.3182,FoxNews,64
0.0,FoxNews,65
0.128,FoxNews,66
-0.296,FoxNews,67
0.0,FoxNews,68
0.0,FoxNews,69
0.3182,FoxNews,70
0.0,FoxNews,71
-0.5574,FoxNews,72
0.0,FoxNews,73
0.4576,FoxNews,74
0.0,FoxNews,75
0.3612,FoxNews,76
0.34,FoxNews,77
0.3818,FoxNews,78
0.4336,FoxNews,79
0.4939,FoxNews,80
0.0,FoxNews,81
-0.5423,FoxNews,82
-0.7096,FoxNews,83
0.0,FoxNews,84
-0.5859,FoxNews,85
0.6808,FoxNews,86
-0.0747,FoxNews,87
0.6124,FoxNews,88
0.7713,FoxNews,89
0.0,FoxNews,90
0.0,FoxNews,91
0.0,FoxNews,92
0.4019,FoxNews,93
-0.5574,FoxNews,94
0.0772,FoxNews,95
-0.9062,FoxNews,96
-0.8402,FoxNews,97
-0.802,FoxNews,98
-0.7003,FoxNews,99
-0.6249,FoxNews,100
0.0,FoxNews,101
0.0,FoxNews,102
-0.128,FoxNews,103
-0.5423,FoxNews,104
-0.4019,FoxNews,105
-0.5423,FoxNews,106
-0.7003,FoxNews,107
-0.4404,FoxNews,108
0.0,FoxNews,109
0.0,FoxNews,110
0.0,FoxNews,111
0.7783,FoxNews,112
-0.7506,FoxNews,113
-0.4404,FoxNews,114
0.0,FoxNews,115
-0.7184,FoxNews,116
-0.0747,FoxNews,117
-0.802,FoxNews,118
0.0,FoxNews,119
0.5719,FoxNews,120
-0.4767,FoxNews,121
0.25,FoxNews,122
0.6249,FoxNews,123
0.5859,FoxNews,124
-0.3612,FoxNews,125
-0.2649,FoxNews,126
0.0,FoxNews,127
0.0,FoxNews,128
-0.4404,FoxNews,129
0.0,FoxNews,130
0.0,FoxNews,131
-0.2617,FoxNews,132
-0.7184,FoxNews,133
-0.8519,FoxNews,134
0.0,FoxNews,135
0.0,FoxNews,136
-0.4588,FoxNews,137
-0.8519,FoxNews,138
-0.6597,FoxNews,139
-0.2023,FoxNews,140
0.3818,FoxNews,141
-0.1531,FoxNews,142
0.4019,FoxNews,143
0.0,FoxNews,144
-0.2411,FoxNews,145
0.0,FoxNews,146
0.0,FoxNews,147
-0.5574,FoxNews,148
0.4019,FoxNews,149
-0.5267,FoxNews,150
-0.7003,FoxNews,151
-0.2838,FoxNews,152
0.0,FoxNews,153
0.3818,FoxNews,154
0.0,FoxNews,155
-0.1027,FoxNews,156
-0.3566,FoxNews,157
0.4019,FoxNews,158
0.6249,FoxNews,159
-0.8807,FoxNews,160
0.4404,FoxNews,161
0.0,FoxNews,162
0.0,FoxNews,163
0.7096,FoxNews,164
-0.5574,FoxNews,165
-0.1531,FoxNews,166
0.0,FoxNews,167
0.6908,FoxNews,168
0.0,FoxNews,169
0.3612,FoxNews,170
0.4939,FoxNews,171
0.3818,FoxNews,172
0.0,FoxNews,173
-0.296,FoxNews,174
0.5719,FoxNews,175
0.0,FoxNews,176
0.2263,FoxNews,177
0.4019,FoxNews,178
0.0,FoxNews,179
0.0,FoxNews,180
-0.4019,FoxNews,181
0.4336,FoxNews,182
-0.4137,FoxNews,183
0.3818,FoxNews,184
-0.9277,FoxNews,185
0.7783,FoxNews,186
0.5719,FoxNews,187
0.0,FoxNews,188
-0.2411,FoxNews,189
0.3818,FoxNews,190
0.0,FoxNews,191
0.0,FoxNews,192
-0.7184,FoxNews,193
0.4404,FoxNews,194
0.0,FoxNews,195
-0.4767,FoxNews,196
0.0,FoxNews,197
-0.5994,FoxNews,198
0.5267,FoxNews,199
-0.6765,FoxNews,200
-0.4019,nytimes,1
0.128,nytimes,2
0.0,nytimes,3
0.0,nytimes,4
0.0,nytimes,5
0.3254,nytimes,6
0.4215,nytimes,7
0.34,nytimes,8
0.0,nytimes,9
0.4019,nytimes,10
0.0,nytimes,11
-0.4215,nytimes,12
0.0,nytimes,13
0.0,nytimes,14
0.0,nytimes,15
0.0,nytimes,16
0.0,nytimes,17
0.6808,nytimes,18
0.0,nytimes,19
0.0,nytimes,20
-0.1027,nytimes,21
-0.2732,nytimes,22
0.0,nytimes,23
0.5106,nytimes,24
0.0,nytimes,25
0.0258,nytimes,26
0.0258,nytimes,27
0.0,nytimes,28
-0.3818,nytimes,29
0.0,nytimes,30
0.0,nytimes,31
0.0,nytimes,32
-0.5574,nytimes,33
0.3612,nytimes,34
0.0,nytimes,35
-0.296,nytimes,36
-0.6486,nytimes,37
0.8126,nytimes,38
0.0,nytimes,39
-0.3716,nytimes,40
-0.4404,nytimes,41
-0.3182,nytimes,42
-0.4019,nytimes,43
0.0,nytimes,44
0.4019,nytimes,45
0.0,nytimes,46
-0.1027,nytimes,47
0.2621,nytimes,48
-0.296,nytimes,49
0.0,nytimes,50
0.4927,nytimes,51
-0.5574,nytimes,52
0.3182,nytimes,53
0.25,nytimes,54
0.0,nytimes,55
0.0,nytimes,56
0.0,nytimes,57
0.3612,nytimes,58
0.0,nytimes,59
-0.6705,nytimes,60
0.8326,nytimes,61
-0.2263,nytimes,62
0.1027,nytimes,63
0.6705,nytimes,64
0.1027,nytimes,65
0.5598,nytimes,66
-0.296,nytimes,67
0.0,nytimes,68
-0.34,nytimes,69
-0.875,nytimes,70
0.6908,nytimes,71
0.0,nytimes,72
0.0,nytimes,73
-0.4404,nytimes,74
0.0,nytimes,75
0.0,nytimes,76
-0.1027,nytimes,77
-0.7717,nytimes,78
0.0258,nytimes,79
-0.6124,nytimes,80
-0.3818,nytimes,81
0.0516,nytimes,82
-0.1531,nytimes,83
0.4588,nytimes,84
-0.7717,nytimes,85
0.0,nytimes,86
0.2732,nytimes,87
-0.6597,nytimes,88
-0.7003,nytimes,89
0.5267,nytimes,90
0.2776,nytimes,91
0.4215,nytimes,92
0.0258,nytimes,93
-0.34,nytimes,94
0.4215,nytimes,95
0.0,nytimes,96
-0.25,nytimes,97
0.2732,nytimes,98
-0.5859,nytimes,99
0.2732,nytimes,100
0.0,nytimes,101
0.6124,nytimes,102
-0.5574,nytimes,103
0.3612,nytimes,104
0.5994,nytimes,105
0.2732,nytimes,106
-0.1027,nytimes,107
0.0258,nytimes,108
-0.2263,nytimes,109
-0.1531,nytimes,110
0.0,nytimes,111
0.0,nytimes,112
0.3254,nytimes,113
-0.4404,nytimes,114
0.4019,nytimes,115
0.6124,nytimes,116
-0.6908,nytimes,117
0.0,nytimes,118
0.2776,nytimes,119
0.4215,nytimes,120
-0.1027,nytimes,121
0.0258,nytimes,122
0.34,nytimes,123
0.7351,nytimes,124
-0.6124,nytimes,125
0.4215,nytimes,126
0.0,nytimes,127
0.4215,nytimes,128
-0.8779,nytimes,129
-0.128,nytimes,130
-0.3612,nytimes,131
0.5719,nytimes,132
0.5719,nytimes,133
0.6597,nytimes,134
0.8591,nytimes,135
0.7964,nytimes,136
-0.1779,nytimes,137
-0.6124,nytimes,138
0.7579,nytimes,139
-0.1779,nytimes,140
0.0,nytimes,141
-0.1531,nytimes,142
0.3612,nytimes,143
-0.7717,nytimes,144
0.0,nytimes,145
-0.2023,nytimes,146
0.34,nytimes,147
0.2732,nytimes,148
0.5256,nytimes,149
0.0,nytimes,150
0.4069,nytimes,151
-0.2023,nytimes,152
0.2732,nytimes,153
-0.0516,nytimes,154
0.4404,nytimes,155
0.7535,nytimes,156
-0.7717,nytimes,157
-0.7096,nytimes,158
0.0772,nytimes,159
0.0,nytimes,160
0.0,nytimes,161
0.25,nytimes,162
0.0,nytimes,163
-0.6124,nytimes,164
-0.1531,nytimes,165
0.3612,nytimes,166
-0.1027,nytimes,167
-0.3182,nytimes,168
-0.8591,nytimes,169
0.0,nytimes,170
0.0258,nytimes,171
0.3724,nytimes,172
0.2732,nytimes,173
0.4215,nytimes,174
0.0,nytimes,175
-0.34,nytimes,176
0.0,nytimes,177
0.0,nytimes,178
-0.4588,nytimes,179
-0.4404,nytimes,180
0.6124,nytimes,181
0.6124,nytimes,182
-0.6486,nytimes,183
0.128,nytimes,184
-0.8625,nytimes,185
0.0,nytimes,186
0.0,nytimes,187
0.3612,nytimes,188
0.0,nytimes,189
0.2732,nytimes,190
0.0,nytimes,191
0.0258,nytimes,192
-0.3939,nytimes,193
0.0,nytimes,194
-0.3182,nytimes,195
0.3612,nytimes,196
0.3612,nytimes,197
-0.3818,nytimes,198
0.0,nytimes,199
-0.5849,nytimes,200
